                   | best Mblock | best Nblock
128/32/8/8         |  2          |  3
64/64/224/224      |  4          |  6
64/128/112/112     |  4          | 15
128/128/112/112    |  8          | 13
128/256/56/56      | 16          | 11
3/64/224/224       |  4          | 19
64/64/56/56        |  4          |  5
128/128/28/28      |  8          |  6
256/256/14/14      | 16          |  2
384/1024/6/6       | 32          |  3
384/384/13/13      | 24          |  4
256/384/13/13      | 24          |  3
384/256/13/13      | 16          |  3
384/256/130/130    | 16          |  4
256/256/56/56      | 16          |  5
256/512/28/28      | 32          |  4
512/512/28/28      | 32          |  2
512/512/14/14      | 32          |  4
512/512/7/7	       | 16          |  2
